flowguid,flowname,startedon,lastmodified,state,flowowner,datetimestarted,datetimecompleted,taskstatus,triggertype,TriggerTypeGroup,finalsuccessful,Year,Month,WeekOfYear,Year - Wk,YearWeek,wassuccessful,Job_Date_UniqueKey
5dc58b00-a5b0-44f3-9881-94a9641c3629,Read CEVA Invoices,2024-05-22 10:19:34,2024-08-27 10:13:26,Started,powerautomate04,2025-04-19 17:52:02.113,2025-04-19 17:52:35.120,Succeeded,When_a_file_is_created_(properties_only),OtherTrigger,1,2025,4,16,2025-16,202516,1,2025-04-19 17:52:02.113_Read CEVA Invoices
338fb088-3417-40fa-bb9d-09870e7e2536,Promotion Alerts 24hrs,2024-08-08 13:47:26,2025-03-27 04:35:20,Started,Mohammad Asim,2025-04-19 19:30:00.387,2025-04-19 19:30:15.723,Succeeded,Recurrence,Recurrence,1,2025,4,16,2025-16,202516,1,2025-04-19 19:30:00.387_Promotion Alerts 24hrs
338fb088-3417-40fa-bb9d-09870e7e2536,Promotion Alerts 24hrs,2024-08-08 13:47:26,2025-03-27 04:35:20,Started,Mohammad Asim,2025-04-19 17:30:01.053,2025-04-19 17:30:14.950,Succeeded,Recurrence,Recurrence,1,2025,4,16,2025-16,202516,1,2025-04-19 17:30:01.053_Promotion Alerts 24hrs
338fb088-3417-40fa-bb9d-09870e7e2536,Promotion Alerts 24hrs,2024-08-08 13:47:26,2025-03-27 04:35:20,Started,Mohammad Asim,2025-04-19 15:30:00.460,2025-04-19 15:30:11.403,Succeeded,Recurrence,Recurrence,1,2025,4,16,2025-16,202516,1,2025-04-19 15:30:00.460_Promotion Alerts 24hrs
338fb088-3417-40fa-bb9d-09870e7e2536,Promotion Alerts 24hrs,2024-08-08 13:47:26,2025-03-27 04:35:20,Started,Mohammad Asim,2025-04-19 13:30:00.143,2025-04-19 13:30:11.167,Succeeded,Recurrence,Recurrence,1,2025,4,16,2025-16,202516,1,2025-04-19 13:30:00.143_Promotion Alerts 24hrs
338fb088-3417-40fa-bb9d-09870e7e2536,Promotion Alerts 24hrs,2024-08-08 13:47:26,2025-03-27 04:35:20,Started,Mohammad Asim,2025-04-19 11:30:00.733,2025-04-19 11:30:12.490,Succeeded,Recurrence,Recurrence,1,2025,4,16,2025-16,202516,1,2025-04-19 11:30:00.733_Promotion Alerts 24hrs
338fb088-3417-40fa-bb9d-09870e7e2536,Promotion Alerts 24hrs,2024-08-08 13:47:26,2025-03-27 04:35:20,Started,Mohammad Asim,2025-04-19 09:30:00.713,2025-04-19 09:30:14.683,Succeeded,Recurrence,Recurrence,1,2025,4,16,2025-16,202516,1,2025-04-19 09:30:00.713_Promotion Alerts 24hrs
953c04cd-1c28-df8e-fdc4-40ae16e71bc6,Orch_PricingAlerts_Canada_PS_SQL_V1,2024-05-03 11:39:49,2025-04-15 12:13:23,Started,powerautomate04,2025-04-19 09:25:35.710,2025-04-19 09:26:25.920,Succeeded,Recurrence,Recurrence,1,2025,4,16,2025-16,202516,1,2025-04-19 09:25:35.710_Orch_PricingAlerts_Canada_PS_SQL_V1
a133bddd-5833-41e9-9eeb-133a37c379a2,Amazon Cust Delivery Date Scrapping,2025-01-20 01:04:14,2025-03-21 06:54:18,Started,Mohammad Asim,2025-04-19 20:40:01.073,,Running,Recurrence,Recurrence,0,2025,4,16,2025-16,202516,0,2025-04-19 20:40:01.073_Amazon Cust Delivery Date Scrapping
a133bddd-5833-41e9-9eeb-133a37c379a2,Amazon Cust Delivery Date Scrapping,2025-01-20 01:04:14,2025-03-21 06:54:18,Started,Mohammad Asim,2025-04-19 03:40:00.023,2025-04-19 11:51:13.543,Succeeded,Recurrence,Recurrence,1,2025,4,16,2025-16,202516,1,2025-04-19 03:40:00.023_Amazon Cust Delivery Date Scrapping
ccc1f605-936a-454d-a4f7-e2346ad5d90d,Bullseye SQL Insertion Parent,2024-10-30 14:02:15,2025-02-04 04:19:48,Started,Mohammad Asim,2025-04-19 19:29:59.807,2025-04-19 19:30:02.410,Succeeded,Recurrence,Recurrence,1,2025,4,16,2025-16,202516,1,2025-04-19 19:29:59.807_Bullseye SQL Insertion Parent
ccc1f605-936a-454d-a4f7-e2346ad5d90d,Bullseye SQL Insertion Parent,2024-10-30 14:02:15,2025-02-04 04:19:48,Started,Mohammad Asim,2025-04-19 15:30:00.503,2025-04-19 15:30:04.720,Succeeded,Recurrence,Recurrence,1,2025,4,16,2025-16,202516,1,2025-04-19 15:30:00.503_Bullseye SQL Insertion Parent
ccc1f605-936a-454d-a4f7-e2346ad5d90d,Bullseye SQL Insertion Parent,2024-10-30 14:02:15,2025-02-04 04:19:48,Started,Mohammad Asim,2025-04-19 11:30:00.063,2025-04-19 11:30:04.433,Succeeded,Recurrence,Recurrence,1,2025,4,16,2025-16,202516,1,2025-04-19 11:30:00.063_Bullseye SQL Insertion Parent
